Entity,Code,Date,deaths,fivedeath
Jersey,JEY,"Apr 18, 2020",11,2
Jersey,JEY,"Apr 19, 2020",12,3
Jersey,JEY,"Apr 20, 2020",12,4
Jersey,JEY,"Apr 21, 2020",14,5
Jersey,JEY,"Apr 22, 2020",14,6
Jersey,JEY,"Apr 23, 2020",18,7
Jersey,JEY,"Apr 24, 2020",19,8
Jersey,JEY,"Apr 25, 2020",19,9
Jersey,JEY,"Apr 26, 2020",19,10
Jersey,JEY,"Apr 27, 2020",19,11
Jersey,JEY,"Apr 28, 2020",19,12
Jersey,JEY,"Apr 29, 2020",20,13
Jersey,JEY,"Apr 30, 2020",21,14
Jersey,JEY,"May 1, 2020",23,15
Jersey,JEY,"May 2, 2020",24,16
Jersey,JEY,"May 3, 2020",24,17
Jersey,JEY,"May 4, 2020",24,18
Jersey,JEY,"May 5, 2020",24,19
Jersey,JEY,"May 6, 2020",24,20
Jersey,JEY,"May 7, 2020",25,21
Jersey,JEY,"May 8, 2020",25,22
Jersey,JEY,"May 9, 2020",25,23
Jersey,JEY,"May 10, 2020",25,24
Jersey,JEY,"May 11, 2020",25,25
Jersey,JEY,"May 12, 2020",25,26
Jersey,JEY,"May 13, 2020",26,27
Jersey,JEY,"May 14, 2020",27,28
Jersey,JEY,"May 15, 2020",27,29
Jersey,JEY,"May 16, 2020",27,30
Jordan,JOR,"Mar 31, 2020",5,0
Jordan,JOR,"Apr 1, 2020",5,1
Jordan,JOR,"Apr 2, 2020",5,2
Jordan,JOR,"Apr 3, 2020",5,3
Jordan,JOR,"Apr 4, 2020",5,4
Jordan,JOR,"Apr 5, 2020",5,5
Jordan,JOR,"Apr 6, 2020",5,6
Jordan,JOR,"Apr 7, 2020",6,7
Jordan,JOR,"Apr 8, 2020",6,8
Jordan,JOR,"Apr 9, 2020",6,9
Jordan,JOR,"Apr 10, 2020",7,10
Jordan,JOR,"Apr 11, 2020",7,11
Jordan,JOR,"Apr 12, 2020",7,12
Jordan,JOR,"Apr 13, 2020",7,13
Jordan,JOR,"Apr 14, 2020",7,14
Jordan,JOR,"Apr 15, 2020",7,15
Jordan,JOR,"Apr 16, 2020",7,16
Jordan,JOR,"Apr 17, 2020",7,17
Jordan,JOR,"Apr 18, 2020",7,18
Jordan,JOR,"Apr 19, 2020",7,19
Jordan,JOR,"Apr 20, 2020",7,20
Jordan,JOR,"Apr 21, 2020",7,21
Jordan,JOR,"Apr 22, 2020",7,22
Jordan,JOR,"Apr 23, 2020",7,23
Jordan,JOR,"Apr 24, 2020",7,24
Jordan,JOR,"Apr 25, 2020",7,25
Jordan,JOR,"Apr 26, 2020",7,26
Jordan,JOR,"Apr 27, 2020",7,27
Jordan,JOR,"Apr 28, 2020",7,28
Jordan,JOR,"Apr 29, 2020",8,29
Jordan,JOR,"Apr 30, 2020",8,30
Jordan,JOR,"May 1, 2020",8,31
Jordan,JOR,"May 2, 2020",8,32
Jordan,JOR,"May 3, 2020",9,33
Jordan,JOR,"May 4, 2020",9,34
Jordan,JOR,"May 5, 2020",9,35
Jordan,JOR,"May 6, 2020",9,36
Jordan,JOR,"May 7, 2020",9,37
Jordan,JOR,"May 8, 2020",9,38
Jordan,JOR,"May 9, 2020",9,39
Jordan,JOR,"May 10, 2020",9,40
Jordan,JOR,"May 11, 2020",9,41
Jordan,JOR,"May 12, 2020",9,42
Jordan,JOR,"May 13, 2020",9,43
Jordan,JOR,"May 14, 2020",9,44
Jordan,JOR,"May 15, 2020",9,45
Jordan,JOR,"May 16, 2020",9,46
Kazakhstan,KAZ,"Apr 6, 2020",5,0
Kazakhstan,KAZ,"Apr 7, 2020",6,1
Kazakhstan,KAZ,"Apr 8, 2020",6,2
Kazakhstan,KAZ,"Apr 9, 2020",7,3
Kazakhstan,KAZ,"Apr 10, 2020",9,4
Kazakhstan,KAZ,"Apr 11, 2020",10,5
Kazakhstan,KAZ,"Apr 12, 2020",10,6
Kazakhstan,KAZ,"Apr 13, 2020",10,7
Kazakhstan,KAZ,"Apr 14, 2020",14,8
Kazakhstan,KAZ,"Apr 15, 2020",14,9
Kazakhstan,KAZ,"Apr 16, 2020",16,10
Kazakhstan,KAZ,"Apr 17, 2020",17,11
Kazakhstan,KAZ,"Apr 18, 2020",17,12
Kazakhstan,KAZ,"Apr 19, 2020",17,13
Kazakhstan,KAZ,"Apr 20, 2020",19,14
Kazakhstan,KAZ,"Apr 21, 2020",19,15
Kazakhstan,KAZ,"Apr 22, 2020",19,16
Kazakhstan,KAZ,"Apr 23, 2020",19,17
Kazakhstan,KAZ,"Apr 24, 2020",22,18
Kazakhstan,KAZ,"Apr 25, 2020",25,19
Kazakhstan,KAZ,"Apr 26, 2020",25,20
Kazakhstan,KAZ,"Apr 27, 2020",25,21
Kazakhstan,KAZ,"Apr 28, 2020",25,22
Kazakhstan,KAZ,"Apr 29, 2020",25,23
Kazakhstan,KAZ,"Apr 30, 2020",25,24
Kazakhstan,KAZ,"May 1, 2020",25,25
Kazakhstan,KAZ,"May 2, 2020",25,26
Kazakhstan,KAZ,"May 3, 2020",25,27
Kazakhstan,KAZ,"May 4, 2020",27,28
Kazakhstan,KAZ,"May 5, 2020",29,29
Kazakhstan,KAZ,"May 6, 2020",29,30
Kazakhstan,KAZ,"May 7, 2020",30,31
Kazakhstan,KAZ,"May 8, 2020",31,32
Kazakhstan,KAZ,"May 9, 2020",31,33
Kazakhstan,KAZ,"May 10, 2020",31,34
Kazakhstan,KAZ,"May 11, 2020",31,35
Kazakhstan,KAZ,"May 12, 2020",32,36
Kazakhstan,KAZ,"May 13, 2020",32,37
Kazakhstan,KAZ,"May 14, 2020",32,38
Kazakhstan,KAZ,"May 15, 2020",32,39
Kazakhstan,KAZ,"May 16, 2020",34,40
Kenya,KEN,"Apr 8, 2020",6,0
Kenya,KEN,"Apr 9, 2020",6,1
Kenya,KEN,"Apr 10, 2020",7,2
Kenya,KEN,"Apr 11, 2020",7,3
Kenya,KEN,"Apr 12, 2020",7,4
Kenya,KEN,"Apr 13, 2020",8,5
Kenya,KEN,"Apr 14, 2020",9,6
Kenya,KEN,"Apr 15, 2020",9,7
Kenya,KEN,"Apr 16, 2020",10,8
Kenya,KEN,"Apr 17, 2020",11,9
Kenya,KEN,"Apr 18, 2020",11,10
Kenya,KEN,"Apr 19, 2020",12,11
Kenya,KEN,"Apr 20, 2020",14,12
Kenya,KEN,"Apr 21, 2020",14,13
Kenya,KEN,"Apr 22, 2020",14,14
Kenya,KEN,"Apr 23, 2020",14,15
