Task ID,Task Name,Start Date,End Date,Duration,Task
39,Congo (Brazzaville),2020-03-15,2020-05-09,55 days 00:00:00.000000000,Congo (Brazzaville)
18,Benin,2020-03-16,2020-05-10,55 days 00:00:00.000000000,Benin
33,Central African Republic,2020-03-15,2020-05-09,55 days 00:00:00.000000000,Central African Republic
178,Uzbekistan,2020-03-15,2020-05-10,56 days 00:00:00.000000000,Uzbekistan
57,Eswatini,2020-03-14,2020-05-10,57 days 00:00:00.000000000,Eswatini
62,Gabon,2020-03-14,2020-05-10,57 days 00:00:00.000000000,Gabon
179,Venezuela,2020-03-14,2020-05-10,57 days 00:00:00.000000000,Venezuela
66,Ghana,2020-03-14,2020-05-10,57 days 00:00:00.000000000,Ghana
138,Rwanda,2020-03-14,2020-05-10,57 days 00:00:00.000000000,Rwanda
70,Guatemala,2020-03-14,2020-05-10,57 days 00:00:00.000000000,Guatemala
177,Uruguay,2020-03-14,2020-05-10,57 days 00:00:00.000000000,Uruguay
89,Kazakhstan,2020-03-13,2020-05-10,58 days 00:00:00.000000000,Kazakhstan
158,Sudan,2020-03-13,2020-05-10,58 days 00:00:00.000000000,Sudan
71,Guinea,2020-03-13,2020-05-10,58 days 00:00:00.000000000,Guinea
73,Guyana,2020-03-12,2020-05-09,58 days 00:00:00.000000000,Guyana
90,Kenya,2020-03-13,2020-05-10,58 days 00:00:00.000000000,Kenya
58,Ethiopia,2020-03-13,2020-05-10,58 days 00:00:00.000000000,Ethiopia
86,Jamaica,2020-03-11,2020-05-09,59 days 00:00:00.000000000,Jamaica
44,Cuba,2020-03-12,2020-05-10,59 days 00:00:00.000000000,Cuba
40,Congo (Kinshasa),2020-03-11,2020-05-09,59 days 00:00:00.000000000,Congo (Kinshasa)
171,Turkey,2020-03-11,2020-05-10,60 days 00:00:00.000000000,Turkey
42,Cote d'Ivoire,2020-03-11,2020-05-10,60 days 00:00:00.000000000,Cote d'Ivoire
