,Axis1,Axis2,Kernel
347,-55.454514,20.034088,11
348,19.134928,-52.100185,0
349,23.89294,34.5681,1
350,-1.3776442,-20.715424,5
351,-40.926613,10.694743,5
352,-11.49173,-7.029559,7
353,-48.37334,21.405863,11
354,-0.15305099,5.137769,6
355,2.327493,41.346455,11
356,-28.84887,40.601788,11
357,16.45374,-47.39581,0
358,-25.979025,58.472786,14
359,33.738754,-38.258163,0
360,17.146652,37.665062,14
361,-36.959267,10.210322,3
362,47.847805,-33.70318,5
363,-10.6294,-4.546929,7
364,44.2095,-53.46304,5
365,12.367765,-27.88734,5
366,36.659924,2.942828,12
367,35.363544,-11.888813,8
368,36.81111,-9.362453,13
369,2.7509294,37.478714,5
370,-4.1891656,-42.925606,8
371,-53.06407,12.343661,10
372,9.42207,17.471085,5
373,9.807116,15.849276,5
374,17.387405,24.329872,5
375,32.51535,8.918238,13
376,-12.102485,-5.1190915,7
377,-25.182474,6.229329,3
378,45.688835,-28.104769,5
379,26.02137,14.65082,13
380,28.785784,16.978977,13
381,-29.604053,-22.506441,3
382,-51.597904,31.10102,3
383,11.511345,4.2378793,5
384,-3.2171311,-1.4834148,5
385,-16.703485,-4.493784,7
386,19.26698,45.737278,1
387,-29.00735,23.377735,11
388,-20.113352,29.49471,3
389,-34.322594,1.939491,3
390,-38.696213,16.217087,9
391,-34.1408,32.22774,11
392,12.0846195,16.299376,5
393,21.303709,34.3545,1
394,13.771739,17.058062,5
395,-28.026869,58.851246,14
396,-18.458641,-31.995863,9
397,23.359238,-32.28532,8
398,-28.189661,24.062855,11
399,18.172594,-48.688747,0
400,-26.753881,6.1266584,3
401,-11.080261,6.4197865,5
402,22.924507,-15.438337,8
403,-9.086541,-47.787174,4
404,-14.130641,-6.612205,7
405,-28.65183,5.857284,3
406,21.821428,-17.854853,5
407,27.00517,-7.346023,8
408,-51.38111,9.080808,10
409,-24.787527,-30.280426,9
410,-0.6829663,21.093952,12
411,-24.403366,23.65355,3
412,29.7884,-43.333057,0
413,37.808205,-26.759842,5
414,6.915798,-46.03115,4
415,-29.708591,20.528887,3
416,25.786171,-34.848217,0
417,-26.216373,8.541557,3
418,45.24798,-45.334255,0
419,34.649586,-37.67195,0
420,-24.311829,23.816303,3
421,49.42394,-30.00029,5
422,-20.403477,30.275036,11
423,11.229753,14.482339,5
424,16.689325,-35.347424,8
425,3.370805,21.387144,10
426,-13.062979,-5.975316,7
427,-17.60351,-12.848484,8
428,25.59451,-52.023373,0
429,-24.838463,47.18698,14
430,9.786818,28.922056,14
431,14.6116295,38.80771,5
432,-15.126698,-29.833754,8
433,-19.803125,-2.786769,5
434,3.465082,-45.44068,4
435,20.592777,-28.729198,5
436,-22.409292,-31.440107,9
437,-25.305769,25.535805,3
438,-13.867225,12.588926,11
439,-19.970655,38.450882,10
440,47.571476,9.411228,14
441,31.126684,23.657833,13
442,-11.721824,24.93995,5
443,42.329,-26.67535,5
444,-14.448206,-27.475975,9
445,-7.185356,50.795425,3
446,-27.273842,5.3184133,3
447,-3.414275,30.611681,14
448,2.5822892,41.20918,3
449,3.4801877,50.96667,5
450,-15.861763,-43.769463,8
451,1.3646721,-54.10457,4
452,33.63278,-3.7493653,8
453,7.481815,20.17621,5
454,-17.40237,34.82368,3
455,27.185482,-1.6233485,5
456,-25.264322,18.948109,3
457,-0.77927285,-13.737377,5
458,-0.8970174,61.214695,2
459,-1.8867625,26.791538,14
460,-24.970182,15.544865,3
461,23.246265,17.131165,13
462,48.236877,1.0646095,12
463,16.487082,-19.08379,8
464,-28.01933,0.888674,3
465,14.116689,0.8923279,8
466,6.4201736,-36.53295,5
467,-35.85268,2.9338298,3
468,12.088365,-3.6633372,5
469,12.853326,27.502846,14
470,-23.210653,5.598748,3
471,-54.896923,24.094488,3
472,29.659834,1.4336444,12
473,36.39625,-29.676123,0
474,-26.699518,58.945393,14
475,41.060955,-16.149403,0
476,-17.46287,-32.10362,9
477,0.8214105,6.2347856,6
478,-3.6981635,64.56476,5
479,-27.30409,13.019287,3
480,-9.947529,7.0738993,11
481,-42.127594,4.64727,11
482,-52.538307,15.894614,10
483,36.202587,-11.435957,12
484,31.906448,-44.737106,0
485,-34.6721,9.012171,5
