Entity,Code,date,deaths,fivedeath
Argentina,ARG,12-Apr-20,89,18
Argentina,ARG,13-Apr-20,95,19
Argentina,ARG,14-Apr-20,98,20
Argentina,ARG,15-Apr-20,105,21
Argentina,ARG,16-Apr-20,109,22
Argentina,ARG,17-Apr-20,115,23
Argentina,ARG,18-Apr-20,122,24
Argentina,ARG,19-Apr-20,132,25
Argentina,ARG,20-Apr-20,134,26
Argentina,ARG,21-Apr-20,142,27
Argentina,ARG,22-Apr-20,151,28
Armenia,ARM,1-Apr-20,3,
Armenia,ARM,2-Apr-20,3,
Armenia,ARM,3-Apr-20,4,
Armenia,ARM,4-Apr-20,7,0
Armenia,ARM,5-Apr-20,7,1
Armenia,ARM,6-Apr-20,7,2
Armenia,ARM,7-Apr-20,8,3
Armenia,ARM,8-Apr-20,8,4
Armenia,ARM,9-Apr-20,9,5
Armenia,ARM,10-Apr-20,10,6
Armenia,ARM,11-Apr-20,11,7
Armenia,ARM,12-Apr-20,13,8
Armenia,ARM,13-Apr-20,13,9
Armenia,ARM,14-Apr-20,14,10
Armenia,ARM,15-Apr-20,17,11
Armenia,ARM,16-Apr-20,18,12
Armenia,ARM,17-Apr-20,19,13
Armenia,ARM,18-Apr-20,20,14
Armenia,ARM,19-Apr-20,20,15
Armenia,ARM,20-Apr-20,22,16
Armenia,ARM,21-Apr-20,24,17
Armenia,ARM,22-Apr-20,24,18
Aruba,ABW,1-Apr-20,0,
Aruba,ABW,2-Apr-20,0,
Aruba,ABW,3-Apr-20,0,
Aruba,ABW,4-Apr-20,0,
Aruba,ABW,5-Apr-20,0,
Aruba,ABW,6-Apr-20,0,
Aruba,ABW,7-Apr-20,0,
Aruba,ABW,8-Apr-20,0,
Aruba,ABW,9-Apr-20,0,
Aruba,ABW,10-Apr-20,0,
Aruba,ABW,11-Apr-20,0,
Aruba,ABW,12-Apr-20,0,
Aruba,ABW,13-Apr-20,0,
Aruba,ABW,14-Apr-20,0,
Aruba,ABW,15-Apr-20,0,
Aruba,ABW,16-Apr-20,1,
Aruba,ABW,17-Apr-20,1,
Aruba,ABW,18-Apr-20,2,
Aruba,ABW,19-Apr-20,2,
Aruba,ABW,20-Apr-20,2,
Aruba,ABW,21-Apr-20,2,
Aruba,ABW,22-Apr-20,2,
Asia,,1-Apr-20,7124,71
Asia,,2-Apr-20,7402,72
Asia,,3-Apr-20,7697,73
Asia,,4-Apr-20,7847,74
Asia,,5-Apr-20,8291,75
Asia,,6-Apr-20,8619,76
Asia,,7-Apr-20,8898,77
Asia,,8-Apr-20,9214,78
Asia,,9-Apr-20,9502,79
Asia,,10-Apr-20,9853,80
Asia,,11-Apr-20,10182,81
Asia,,12-Apr-20,10568,82
Asia,,13-Apr-20,10956,83
Asia,,14-Apr-20,11298,84
Asia,,15-Apr-20,11687,85
Asia,,16-Apr-20,12027,86
Asia,,17-Apr-20,13658,87
Asia,,18-Apr-20,14022,88
Asia,,19-Apr-20,14331,89
Asia,,20-Apr-20,14708,90
Asia,,21-Apr-20,15059,91
Asia,,22-Apr-20,15404,92
Asia excl. China,,1-Apr-20,3814,41
Asia excl. China,,2-Apr-20,4086,42
Asia excl. China,,3-Apr-20,4371,43
Asia excl. China,,4-Apr-20,4517,44
Asia excl. China,,5-Apr-20,4958,45
Asia excl. China,,6-Apr-20,5284,46
Asia excl. China,,7-Apr-20,5563,47
Asia excl. China,,8-Apr-20,5877,48
Asia excl. China,,9-Apr-20,6163,49
Asia excl. China,,10-Apr-20,6513,50
Asia excl. China,,11-Apr-20,6839,51
Asia excl. China,,12-Apr-20,7225,52
Asia excl. China,,13-Apr-20,7611,53
Asia excl. China,,14-Apr-20,7953,54
Asia excl. China,,15-Apr-20,8341,55
Asia excl. China,,16-Apr-20,8681,56
Asia excl. China,,17-Apr-20,9022,57
Asia excl. China,,18-Apr-20,9386,58
Asia excl. China,,19-Apr-20,9695,59
Asia excl. China,,20-Apr-20,10072,60
Asia excl. China,,21-Apr-20,10423,61
Asia excl. China,,22-Apr-20,10768,62
Australia,AUS,1-Apr-20,20,16
Australia,AUS,2-Apr-20,21,17
Australia,AUS,3-Apr-20,23,18
Australia,AUS,4-Apr-20,30,19
Australia,AUS,5-Apr-20,34,20
Australia,AUS,6-Apr-20,36,21
Australia,AUS,7-Apr-20,42,22
Australia,AUS,8-Apr-20,45,23
Australia,AUS,9-Apr-20,50,24
Australia,AUS,10-Apr-20,52,25
Australia,AUS,11-Apr-20,54,26
Australia,AUS,12-Apr-20,57,27
Australia,AUS,13-Apr-20,61,28
Australia,AUS,14-Apr-20,61,29
Australia,AUS,15-Apr-20,61,30
Australia,AUS,16-Apr-20,63,31
Australia,AUS,17-Apr-20,63,32
Australia,AUS,18-Apr-20,67,33
Australia,AUS,19-Apr-20,69,34
Australia,AUS,20-Apr-20,70,35
Australia,AUS,21-Apr-20,71,36
Australia,AUS,22-Apr-20,74,37
Austria,AUT,1-Apr-20,128,12
Austria,AUT,2-Apr-20,146,13
Austria,AUT,3-Apr-20,158,14
Austria,AUT,4-Apr-20,168,15
Austria,AUT,5-Apr-20,186,16
Austria,AUT,6-Apr-20,204,17
Austria,AUT,7-Apr-20,220,18
Austria,AUT,8-Apr-20,243,19
Austria,AUT,9-Apr-20,273,20
Austria,AUT,10-Apr-20,295,21
Austria,AUT,11-Apr-20,319,22
Austria,AUT,12-Apr-20,337,23
Austria,AUT,13-Apr-20,350,24
Austria,AUT,14-Apr-20,368,25
Austria,AUT,15-Apr-20,384,26
Austria,AUT,16-Apr-20,393,27
Austria,AUT,17-Apr-20,410,28
Austria,AUT,18-Apr-20,431,29
Austria,AUT,19-Apr-20,443,30
Austria,AUT,20-Apr-20,452,31
Austria,AUT,21-Apr-20,462,32
Austria,AUT,22-Apr-20,463,33
Azerbaijan,AZE,1-Apr-20,5,0
Azerbaijan,AZE,2-Apr-20,5,1
Azerbaijan,AZE,3-Apr-20,5,2
Azerbaijan,AZE,4-Apr-20,5,3
Azerbaijan,AZE,5-Apr-20,5,4
Azerbaijan,AZE,6-Apr-20,7,5
Azerbaijan,AZE,7-Apr-20,7,6
Azerbaijan,AZE,8-Apr-20,8,7
Azerbaijan,AZE,9-Apr-20,8,8
Azerbaijan,AZE,10-Apr-20,9,9
Azerbaijan,AZE,11-Apr-20,10,10
Azerbaijan,AZE,12-Apr-20,11,11
Azerbaijan,AZE,13-Apr-20,11,12
Azerbaijan,AZE,14-Apr-20,12,13
Azerbaijan,AZE,15-Apr-20,13,14
Azerbaijan,AZE,16-Apr-20,13,15
Azerbaijan,AZE,17-Apr-20,15,16
Azerbaijan,AZE,18-Apr-20,15,17
Azerbaijan,AZE,19-Apr-20,18,18
Azerbaijan,AZE,20-Apr-20,19,19
Azerbaijan,AZE,21-Apr-20,19,20
Azerbaijan,AZE,22-Apr-20,20,21
Bahamas,BHS,1-Apr-20,0,
Bahamas,BHS,2-Apr-20,1,
Bahamas,BHS,3-Apr-20,1,
Bahamas,BHS,4-Apr-20,3,
Bahamas,BHS,5-Apr-20,4,
Bahamas,BHS,6-Apr-20,5,0
Bahamas,BHS,7-Apr-20,5,1
Bahamas,BHS,8-Apr-20,6,2
Bahamas,BHS,9-Apr-20,7,3
Bahamas,BHS,10-Apr-20,8,4
Bahamas,BHS,11-Apr-20,8,5
Bahamas,BHS,12-Apr-20,8,6
Bahamas,BHS,13-Apr-20,8,7
Bahamas,BHS,14-Apr-20,8,8
Bahamas,BHS,15-Apr-20,8,9
Bahamas,BHS,16-Apr-20,8,10
Bahamas,BHS,17-Apr-20,9,11
Bahamas,BHS,18-Apr-20,9,12
Bahamas,BHS,19-Apr-20,9,13
Bahamas,BHS,20-Apr-20,9,14
Bahamas,BHS,21-Apr-20,9,15
Bahamas,BHS,22-Apr-20,9,16
Bahrain,BHR,1-Apr-20,4,
Bahrain,BHR,2-Apr-20,4,
Bahrain,BHR,3-Apr-20,4,
Bahrain,BHR,4-Apr-20,4,
Bahrain,BHR,5-Apr-20,4,
Bahrain,BHR,6-Apr-20,4,
Bahrain,BHR,7-Apr-20,4,
Bahrain,BHR,8-Apr-20,5,0
Bahrain,BHR,9-Apr-20,5,1
Bahrain,BHR,10-Apr-20,5,2
Bahrain,BHR,11-Apr-20,6,3
Bahrain,BHR,12-Apr-20,6,4
Bahrain,BHR,13-Apr-20,6,5
Bahrain,BHR,14-Apr-20,7,6
Bahrain,BHR,15-Apr-20,7,7
Bahrain,BHR,16-Apr-20,7,8
Bahrain,BHR,17-Apr-20,7,9
Bahrain,BHR,18-Apr-20,7,10
Bahrain,BHR,19-Apr-20,7,11
Bahrain,BHR,20-Apr-20,7,12
Bahrain,BHR,21-Apr-20,7,13
Bahrain,BHR,22-Apr-20,7,14
Bangladesh,BGD,1-Apr-20,5,6
Bangladesh,BGD,2-Apr-20,6,7
Bangladesh,BGD,3-Apr-20,6,8
Bangladesh,BGD,4-Apr-20,6,9
Bangladesh,BGD,5-Apr-20,8,10
Bangladesh,BGD,6-Apr-20,9,11
Bangladesh,BGD,7-Apr-20,12,12
Bangladesh,BGD,8-Apr-20,17,13
Bangladesh,BGD,9-Apr-20,20,14
Bangladesh,BGD,10-Apr-20,21,15
Bangladesh,BGD,11-Apr-20,27,16
Bangladesh,BGD,12-Apr-20,30,17
Bangladesh,BGD,13-Apr-20,34,18
Bangladesh,BGD,14-Apr-20,39,19
Bangladesh,BGD,15-Apr-20,46,20
Bangladesh,BGD,16-Apr-20,50,21
Bangladesh,BGD,17-Apr-20,60,22
Bangladesh,BGD,18-Apr-20,75,23
Bangladesh,BGD,19-Apr-20,84,24
Bangladesh,BGD,20-Apr-20,91,25
Bangladesh,BGD,21-Apr-20,101,26
