Entity,Code,Date,Total confirmed cases of COVID-19 per million people (cases per million)
Japan,JPN,"Apr 21, 2020",87.9056875549124
Japan,JPN,"Apr 22, 2020",90.89438605246204
Jordan,JOR,"Mar 3, 2020",0.09800904427460566
Jordan,JOR,"Mar 8, 2020",0.09800904427460566
Jordan,JOR,"Mar 15, 2020",0.09800904427460566
Jordan,JOR,"Mar 16, 2020",1.470135664119085
Jordan,JOR,"Mar 17, 2020",1.5681447083936906
Jordan,JOR,"Mar 18, 2020",3.4303165496111983
Jordan,JOR,"Mar 19, 2020",5.096470302279495
Jordan,JOR,"Mar 20, 2020",5.488506479377917
Jordan,JOR,"Mar 21, 2020",6.762624054947791
Jordan,JOR,"Mar 22, 2020",8.232759719066875
Jordan,JOR,"Mar 23, 2020",9.702895383185961
Jordan,JOR,"Mar 24, 2020",10.977012958755834
Jordan,JOR,"Mar 25, 2020",12.44714862287492
Jordan,JOR,"Mar 26, 2020",14.995383774014666
Jordan,JOR,"Mar 27, 2020",16.857555615232176
Jordan,JOR,"Mar 28, 2020",20.7779173862164
Jordan,JOR,"Mar 29, 2020",23.03212540453233
Jordan,JOR,"Mar 30, 2020",25.384342467122867
Jordan,JOR,"Mar 31, 2020",26.26642386559432
Jordan,JOR,"Apr 1, 2020",26.85447813124195
Jordan,JOR,"Apr 2, 2020",27.246514308340377
Jordan,JOR,"Apr 3, 2020",29.304704238107096
Jordan,JOR,"Apr 4, 2020",29.304704238107096
Jordan,JOR,"Apr 5, 2020",31.65692130069763
Jordan,JOR,"Apr 6, 2020",33.81312027473896
Jordan,JOR,"Apr 7, 2020",34.205156451837375
Jordan,JOR,"Apr 8, 2020",34.205156451837375
Jordan,JOR,"Apr 9, 2020",35.08723785030883
Jordan,JOR,"Apr 10, 2020",36.45936447015331
Jordan,JOR,"Apr 11, 2020",36.45936447015331
Jordan,JOR,"Apr 12, 2020",37.34144586862476
Jordan,JOR,"Apr 13, 2020",38.125518222821604
Jordan,JOR,"Apr 14, 2020",38.321536311370814
Jordan,JOR,"Apr 15, 2020",38.90959057701845
Jordan,JOR,"Apr 16, 2020",39.301626754116874
Jordan,JOR,"Apr 17, 2020",39.39963579839148
Jordan,JOR,"Apr 18, 2020",39.88968101976451
